"Date","Price","Open","High","Low","Vol.","Change %"
"01/15/2023","3,972.60","3,999.30","4,015.40","3,885.50","","-0.66%"
"01/08/2023","3,999.10","3,910.80","4,003.90","3,877.30","","2.67%"
"01/01/2023","3,895.10","3,853.30","3,906.20","3,794.30","","1.45%"
"12/25/2022","3,839.50","3,843.30","3,858.20","3,780.80","","-0.14%"
"12/18/2022","3,844.80","3,853.80","3,889.80","3,764.50","","-0.20%"
"12/11/2022","3,852.40","3,939.30","4,101.00","3,827.90","","-2.08%"
"12/04/2022","3,934.40","4,052.00","4,052.40","3,918.40","","-3.37%"
"11/27/2022","4,071.70","4,005.40","4,100.50","3,937.70","","1.13%"
"11/20/2022","4,026.10","3,956.20","4,034.00","3,933.30","","1.53%"
"11/13/2022","3,965.30","3,978.00","4,028.80","3,906.50","","-0.69%"
"11/06/2022","3,992.90","3,780.70","4,001.50","3,744.20","","5.90%"
"10/30/2022","3,770.60","3,881.80","3,911.80","3,698.20","","-3.35%"
"10/23/2022","3,901.10","3,762.00","3,905.40","3,741.70","","3.95%"
"10/16/2022","3,752.80","3,638.70","3,762.80","3,638.70","","4.74%"
"10/09/2022","3,583.10","3,647.50","3,712.00","3,491.60","","-1.56%"
"10/02/2022","3,639.70","3,609.80","3,806.90","3,604.90","","1.51%"
"09/25/2022","3,585.60","3,682.70","3,736.70","3,584.10","","-2.91%"
"09/18/2022","3,693.20","3,849.90","3,907.10","3,647.50","","-4.65%"
"09/11/2022","3,873.30","4,083.70","4,119.30","3,837.10","","-4.77%"
"09/04/2022","4,067.40","3,930.90","4,076.80","3,886.80","","3.65%"
"08/28/2022","3,924.30","4,034.60","4,063.00","3,903.70","","-3.29%"
"08/21/2022","4,057.70","4,195.10","4,203.00","4,057.70","","-4.04%"
"08/14/2022","4,228.50","4,269.40","4,325.30","4,218.70","","-1.21%"
"08/07/2022","4,280.10","4,155.90","4,280.50","4,112.10","","3.25%"
"07/31/2022","4,145.20","4,112.40","4,167.70","4,079.80","","0.36%"
"07/24/2022","4,130.30","3,965.70","4,140.10","3,910.70","","4.26%"
"07/17/2022","3,961.60","3,883.80","4,012.40","3,818.60","","2.55%"
"07/10/2022","3,863.20","3,880.90","3,880.90","3,721.60","","-0.93%"
"07/03/2022","3,899.40","3,792.60","3,918.50","3,742.10","","1.94%"
"06/26/2022","3,825.30","3,920.80","3,945.90","3,738.70","","-2.21%"
"06/19/2022","3,911.70","3,715.30","3,913.70","3,715.30","","6.45%"
"06/12/2022","3,674.80","3,838.20","3,838.20","3,636.90","","-5.80%"
"06/05/2022","3,900.90","4,134.70","4,168.80","3,900.20","","-5.05%"
"05/29/2022","4,108.50","4,151.10","4,177.50","4,073.80","","-1.20%"
"05/22/2022","4,158.20","3,919.40","4,158.50","3,875.10","","6.58%"
"05/15/2022","3,901.40","4,013.00","4,090.70","3,810.30","","-3.04%"
"05/08/2022","4,023.90","4,081.30","4,081.30","3,858.90","","-2.41%"
"05/01/2022","4,123.30","4,130.60","4,307.70","4,062.50","","-0.21%"
"04/24/2022","4,131.90","4,255.30","4,308.40","4,124.30","","-3.27%"
"04/17/2022","4,271.80","4,385.60","4,512.90","4,267.60","","-2.75%"
"04/10/2022","4,392.60","4,462.60","4,471.00","4,381.30","","-2.13%"
"04/03/2022","4,488.30","4,548.00","4,593.40","4,450.00","","-1.27%"
"03/27/2022","4,545.90","4,541.10","4,637.30","4,507.60","","0.06%"
"03/20/2022","4,543.10","4,462.40","4,546.00","4,424.30","","1.79%"
"03/13/2022","4,463.10","4,202.80","4,465.40","4,161.70","","6.16%"
"03/06/2022","4,204.30","4,327.00","4,327.00","4,157.90","","-2.88%"
"02/27/2022","4,328.90","4,354.20","4,416.80","4,279.50","","-1.27%"
"02/20/2022","4,384.60","4,332.70","4,385.30","4,114.60","","0.82%"
"02/13/2022","4,348.90","4,412.60","4,489.60","4,327.20","","-1.58%"
"02/06/2022","4,418.60","4,505.80","4,590.00","4,401.40","","-1.82%"
"01/30/2022","4,500.50","4,431.80","4,595.30","4,414.00","","1.55%"
"01/23/2022","4,431.90","4,356.30","4,453.20","4,222.60","","0.77%"
"01/16/2022","4,397.90","4,632.20","4,632.20","4,395.30","","-5.68%"
"01/09/2022","4,662.90","4,655.30","4,748.80","4,582.20","","-0.30%"
"01/02/2022","4,677.00","4,778.10","4,818.60","4,662.70","","-1.87%"
"12/26/2021","4,766.20","4,734.00","4,808.90","4,734.00","","0.85%"
"12/19/2021","4,725.80","4,587.90","4,740.70","4,531.10","","2.28%"
"12/12/2021","4,620.60","4,710.30","4,732.00","4,600.20","","-1.94%"
